id,cx,cy,uri,alt
a,240,35,https://sites.google.com/view/coastal-climate-science/explainers/increasing-co2,Increasing CO2 in the atmosphere
b,400,100,https://sites.google.com/view/coastal-climate-science/explainers/ocean-acidification,Ocean acidification
c,50,215,https://sites.google.com/view/coastal-climate-science/explainers/warmer-air,Warmer air and the greenhouse effect
d,225,235,https://sites.google.com/view/coastal-climate-science/explainers/warmer-ocean,Warmer ocean water
e,400,235,https://sites.google.com/view/coastal-climate-science/explainers/more-water-vapor,More water vapor in the air
f,500,235,https://sites.google.com/view/coastal-climate-science/explainers/melting-glaciers,Melting glaciers and ice sheets
g,500,335,https://sites.google.com/view/coastal-climate-science/explainers/water-salinity,Regional changes in water salinity
h,320,430,https://sites.google.com/view/coastal-climate-science/explainers/sea-level,Rising sea level
i,465,430,https://sites.google.com/view/coastal-climate-science/explainers/ocean-circulation,Changes to Atlantic Ocean circulation
j,130,555,https://sites.google.com/view/coastal-climate-science/explainers/less-dissolved-oxygen,Less dissolved oxygen in water
k,240,555,https://sites.google.com/view/coastal-climate-science/explainers/algal-blooms,Harmful algal blooms (HABs)
l,480,555,https://sites.google.com/view/coastal-climate-science/explainers/extreme-weather,Extreme and changing weather
m,210,770,https://sites.google.com/view/coastal-climate-science/explainers/harm-to-marine,Harm to marine life
n,350,770,https://sites.google.com/view/coastal-climate-science/explainers/harm-to-human,Harm to human and terrestrial life
